item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
1,0,20,13,260,1,1,4
2,0,20,15,300,1,1,2
2,0,20,1,20,1,1,2
3,1,25,6,150,0,1,4
3,1,25,8,200,0,1,3
2,0,20,10,200,1,1,3
3,1,25,9,225,1,1,3
4,0,20,14,280,0,1,4
4,0,20,1,20,1,0,1
4,0,20,5,100,0,1,2
5,0,50,8,400,0,0,2
2,0,20,8,160,0,0,4
4,0,20,9,180,0,0,2
5,0,50,4,200,0,1,1
1,0,20,3,60,1,0,3
6,0,60,11,660,1,0,5
4,0,20,11,220,1,0,1
4,0,20,10,200,1,0,4
4,0,20,11,220,1,0,4
7,1,40,10,400,0,1,4
7,1,40,15,600,1,1,3
3,1,25,12,300,0,1,3
6,0,60,3,180,0,1,5
3,1,25,10,250,0,1,2
6,0,60,1,60,0,0,3
3,1,25,4,100,1,1,2
7,1,40,11,440,0,0,2
7,1,40,10,400,0,0,2
3,1,25,9,225,0,1,2
5,0,50,2,100,1,0,4
7,1,40,13,520,0,0,3
1,0,20,4,80,1,1,1
1,0,20,13,260,0,1,4
5,0,50,12,600,0,0,3
2,0,20,8,160,1,1,1
7,1,40,10,400,0,1,2
5,0,50,10,500,1,1,4
4,0,20,12,240,0,0,4
2,0,20,2,40,0,1,3
6,0,60,5,300,0,0,4
7,1,40,11,440,1,1,2
1,0,20,8,160,0,0,4
2,0,20,1,20,1,1,4
7,1,40,12,480,1,1,3
3,1,25,6,150,1,0,2
2,0,20,7,140,1,1,3
6,0,60,7,420,1,1,1
6,0,60,14,840,0,1,2
5,0,50,4,200,0,0,1
2,0,20,8,160,1,0,5
5,0,50,15,750,0,0,1
3,1,25,12,300,1,0,5
1,0,20,13,260,1,1,2
4,0,20,14,280,0,0,1
6,0,60,10,600,1,1,4
4,0,20,11,220,1,0,5
4,0,20,14,280,0,0,1
2,0,20,6,120,0,0,1
2,0,20,5,100,1,1,1
7,1,40,2,80,0,1,4
2,0,20,14,280,1,0,2
3,1,25,3,75,1,1,2
6,0,60,7,420,0,0,1
7,1,40,1,40,1,1,1
1,0,20,4,80,1,1,1
5,0,50,2,100,1,0,1
1,0,20,9,180,1,1,5
7,1,40,2,80,1,1,4
2,0,20,7,140,1,1,5
7,1,40,14,560,1,0,1
7,1,40,6,240,0,1,4
5,0,50,13,650,0,1,2
4,0,20,5,100,1,1,5
7,1,40,10,400,0,0,3
7,1,40,6,240,0,0,2
2,0,20,9,180,0,1,1
3,1,25,12,300,1,0,5
2,0,20,4,80,1,0,3
4,0,20,6,120,0,1,4
5,0,50,13,650,1,1,3
5,0,50,12,600,0,0,4
5,0,50,3,150,0,0,3
5,0,50,11,550,1,1,3
4,0,20,13,260,1,1,5
1,0,20,3,60,0,0,4
1,0,20,15,300,1,1,1
1,0,20,8,160,1,1,4
7,1,40,10,400,1,1,3
1,0,20,14,280,1,1,3
2,0,20,15,300,0,1,4
7,1,40,6,240,1,0,3
1,0,20,15,300,1,1,2
7,1,40,2,80,0,0,5
1,0,20,15,300,1,0,4
3,1,25,8,200,0,1,4
6,0,60,15,900,1,1,1
7,1,40,13,520,0,1,3
2,0,20,1,20,0,1,1
3,1,25,3,75,1,1,3
4,0,20,11,220,1,1,1
2,0,20,3,60,0,0,1
7,1,40,14,560,1,1,1
7,1,40,8,320,0,0,5
7,1,40,13,520,0,1,1
4,0,20,8,160,1,0,3
5,0,50,9,450,1,0,3
6,0,60,4,240,0,1,2
4,0,20,5,100,0,1,2
7,1,40,12,480,1,1,2
4,0,20,2,40,0,0,1
6,0,60,8,480,1,0,5
6,0,60,7,420,1,1,1
1,0,20,8,160,1,1,2
1,0,20,10,200,0,1,2
1,0,20,13,260,1,1,3
3,1,25,13,325,1,1,3
5,0,50,7,350,0,0,3
6,0,60,1,60,0,1,5
4,0,20,10,200,1,1,3
5,0,50,2,100,1,0,3
7,1,40,8,320,1,1,2
4,0,20,3,60,1,0,4
7,1,40,6,240,0,1,3
3,1,25,13,325,1,0,3
2,0,20,7,140,1,0,5
4,0,20,11,220,0,0,4
1,0,20,1,20,1,0,1
2,0,20,11,220,0,1,5
4,0,20,13,260,1,0,1
3,1,25,7,175,1,1,4
6,0,60,8,480,1,1,4
2,0,20,4,80,0,0,4
1,0,20,5,100,0,1,5
1,0,20,12,240,0,0,4
1,0,20,8,160,0,1,5
1,0,20,15,300,0,1,1
3,1,25,6,150,1,1,2
6,0,60,15,900,0,1,4
5,0,50,11,550,0,0,4
5,0,50,13,650,1,1,4
1,0,20,4,80,1,1,3
3,1,25,12,300,1,0,1
5,0,50,8,400,1,0,2
4,0,20,10,200,1,0,3
6,0,60,14,840,0,1,1
5,0,50,4,200,1,0,2
4,0,20,7,140,0,1,3
6,0,60,13,780,0,1,3
6,0,60,7,420,0,1,1
7,1,40,14,560,1,1,2
5,0,50,13,650,0,0,1
7,1,40,9,360,0,1,2
4,0,20,1,20,1,0,3
2,0,20,3,60,1,1,4
3,1,25,10,250,1,0,3
