,Product Name,Price,Actual Price,Discount,Description,Rating,Product Link
0,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
1,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
2,"Nothing Phone (4b) (White, 128 GB)","₹34,999","₹54,999",36% off,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '6000 mAh Lithium ion Battery', '6 Gen 4 Processor', '1 Year Manufacturing Warranty']",4.4,https://www.flipkart.com/nothing-phone-4b-white-128-gb/p/itm939608b40adbb?pid=MOBHZMBDSF3JAFTF&lid=LSTMOBHZMBDSF3JAFTF4PZFBR&marketplace=FLIPKART&q=NothingPhone%284b%29&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=0abf9f14-be77-433a-a611-2860b9bd82f9.MOBHZMBDSF3JAFTF.SEARCH&ppt=None&ppn=None&ssid=e4cax3uu680000001785221578433&qH=cac29757abaa5683&ov_redirect=true
3,"Nothing Phone (4b) (Blue, 128 GB)","₹34,999","₹54,999",36% off,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '6000 mAh Lithium ion Battery', '6 Gen 4 Processor', '1 Year Manufacturing Warranty']",4.4,https://www.flipkart.com/nothing-phone-4b-blue-128-gb/p/itm939608b40adbb?pid=MOBHZMBD9WNP9HHB&lid=LSTMOBHZMBD9WNP9HHBUJTCGV&marketplace=FLIPKART&q=NothingPhone%284b%29&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=0abf9f14-be77-433a-a611-2860b9bd82f9.MOBHZMBD9WNP9HHB.SEARCH&ppt=None&ppn=None&ssid=e4cax3uu680000001785221578433&qH=cac29757abaa5683&ov_redirect=true
4,"Nothing Phone (4b) (Black, 128 GB)","₹34,999","₹54,999",36% off,"['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '6000 mAh Lithium ion Battery', '6 Gen 4 Processor', '1 Year Manufacturing Warranty']",4.4,https://www.flipkart.com/nothing-phone-4b-black-128-gb/p/itm939608b40adbb?pid=MOBHZMBDHVTPQTWY&lid=LSTMOBHZMBDHVTPQTWYRX0DCB&marketplace=FLIPKART&q=NothingPhone%284b%29&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=0abf9f14-be77-433a-a611-2860b9bd82f9.MOBHZMBDHVTPQTWY.SEARCH&ppt=None&ppn=None&ssid=e4cax3uu680000001785221578433&qH=cac29757abaa5683&ov_redirect=true
5,"Nothing Phone (4b) (White, 256 GB)","₹38,999","₹59,999",35% off,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '6000 mAh Lithium ion Battery', '6 Gen 4 Processor', '1 Year Manufacturing Warranty']",4.4,https://www.flipkart.com/nothing-phone-4b-white-256-gb/p/itm939608b40adbb?pid=MOBHZMBD5MZZDUYA&lid=LSTMOBHZMBD5MZZDUYAIWDKYR&marketplace=FLIPKART&q=NothingPhone%284b%29&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=0abf9f14-be77-433a-a611-2860b9bd82f9.MOBHZMBD5MZZDUYA.SEARCH&ppt=None&ppn=None&ssid=e4cax3uu680000001785221578433&qH=cac29757abaa5683&ov_redirect=true
6,"Nothing Phone (4b) (Blue, 256 GB)","₹38,999","₹59,999",35% off,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '6000 mAh Lithium ion Battery', '6 Gen 4 Processor', '1 Year Manufacturing Warranty']",4.4,https://www.flipkart.com/nothing-phone-4b-blue-256-gb/p/itm939608b40adbb?pid=MOBHZMBDHJGVM8N5&lid=LSTMOBHZMBDHJGVM8N5TDJER1&marketplace=FLIPKART&q=NothingPhone%284b%29&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=0abf9f14-be77-433a-a611-2860b9bd82f9.MOBHZMBDHJGVM8N5.SEARCH&ppt=None&ppn=None&ssid=e4cax3uu680000001785221578433&qH=cac29757abaa5683&ov_redirect=true
7,"Nothing Phone (4b) (Black, 256 GB)","₹38,999","₹59,999",35% off,"['8 GB RAM | 256 GB ROM', '17.2 cm (6.77 inch) Full HD+ AMOLED Display', '50MP + 8MP | 16MP Front Camera', '6000 mAh Lithium ion Battery', '6 Gen 4 Processor', '1 Year Manufacturing Warranty']",4.4,https://www.flipkart.com/nothing-phone-4b-black-256-gb/p/itm939608b40adbb?pid=MOBHZMBDNBKCHZ7B&lid=LSTMOBHZMBDNBKCHZ7BHVWLPF&marketplace=FLIPKART&q=NothingPhone%284b%29&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=0abf9f14-be77-433a-a611-2860b9bd82f9.MOBHZMBDNBKCHZ7B.SEARCH&ppt=None&ppn=None&ssid=e4cax3uu680000001785221578433&qH=cac29757abaa5683&ov_redirect=true
8,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
9,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
